"","site.name","year","slope","pvalue","sig","LTER","n"
"154","CU11.6M",2014,1.86857378585147,0.3204032273232,"not sig","UMR",14
"155","CU11.6M",2015,-1.77778088199527,0.256931843224276,"not sig","UMR",14
"156","CU11.6M",2016,-0.380299832304153,0.425353840959301,"not sig","UMR",14
"157","CU11.6M",2017,0.4237480229816,0.709283216317545,"not sig","UMR",13
"158","CU11.6M",2018,-0.317259714505035,0.756162052461898,"not sig","UMR",14
"159","CU11.6M",2019,-4.62279943654573,0.126218221645378,"not sig","UMR",8
"160","Green Creek at F9",1995,-4.25842670919682,0.235604892251629,"not sig","MCM",4
"161","Green Creek at F9",1996,-1.19355389759157,0.524397869599587,"not sig","MCM",5
"162","Green Creek at F9",1997,-3.22916263292561,0.507673431812972,"not sig","MCM",3
"163","Green Creek at F9",1998,-5.30367982369717,0.0200164254079111,"sig","MCM",5
"164","Green Creek at F9",1999,-2.71997236709785,0.0446144770766147,"sig","MCM",7
"165","Green Creek at F9",2002,-3.27017158186722,0.00927756962980705,"sig","MCM",4
"166","Green Creek at F9",2003,-2.65064647605781,0.00881185437630436,"sig","MCM",6
"167","Green Creek at F9",2004,-4.59278061686057,0.00972824026225668,"sig","MCM",7
"168","Green Creek at F9",2005,-1.81297770773958,0.0461143279834565,"sig","MCM",7
"169","Green Creek at F9",2006,0.218389242241849,0.5194826555118,"not sig","MCM",4
"170","Green Creek at F9",2007,-1.61522280739113,0.0245192757207095,"sig","MCM",7
"171","Green Creek at F9",2008,-2.19582887016606,0.0398499668084033,"sig","MCM",9
"172","Green Creek at F9",2009,-3.87506706552928,0.00361296245719159,"sig","MCM",11
"173","Green Creek at F9",2010,-0.78283427065338,0.372080411395933,"not sig","MCM",10
"174","Green Creek at F9",2011,-1.08363441172291,0.127655882404934,"not sig","MCM",10
"175","Green Creek at F9",2012,-3.62870970850493,0.0424906692283924,"sig","MCM",6
"176","Green Creek at F9",2014,-4.10925485612069,0.0666813221395895,"not sig","MCM",6
"177","Green Creek at F9",2015,-4.94455371727199,0.00149622890742835,"sig","MCM",9
"178","Green Creek at F9",2016,-4.57035253699185,0.00726894852317928,"sig","MCM",7
"179","Green Creek at F9",2017,-6.18574177815691,0.00314197748850928,"sig","MCM",7
"180","Green Creek at F9",2018,-0.180828061175902,0.564448638616695,"not sig","MCM",10
"181","Green Creek at F9",2019,-6.36859196043344,0.00528983103117099,"sig","MCM",5
"182","GSMACK",1995,-6.06673756312494,0.195083195035448,"not sig","AND",5
"183","GSMACK",1996,-5.98276996253503,0.000374171013766141,"sig","AND",16
"184","GSMACK",1997,-5.57681350814472,0.000320406645894137,"sig","AND",18
"185","GSMACK",1998,-7.91376628005175,1.20705560581693e-09,"sig","AND",19
"186","GSMACK",1999,-5.76976211785894,3.26839956050063e-05,"sig","AND",17
"187","GSMACK",2000,-8.07009277568563,5.63101285609976e-10,"sig","AND",19
"188","GSMACK",2001,-8.83994442411367,2.69481702856593e-07,"sig","AND",17
"189","GSMACK",2002,-7.61453411224428,5.61248421210422e-05,"sig","AND",16
"190","GSMACK",2003,-7.25674091722486,1.13534187123711e-07,"sig","AND",18
"191","GSMACK",2004,-7.2369512948091,2.74512822066763e-07,"sig","AND",17
"192","GSMACK",2005,-3.15514090579515,0.00265798346751457,"sig","AND",18
"193","GSMACK",2006,-6.30390817024708,1.56212138506775e-05,"sig","AND",17
"194","GSMACK",2007,-9.42772979267269,8.14333980296306e-09,"sig","AND",17
"195","GSMACK",2008,-7.25604151532916,0.000158390188798367,"sig","AND",18
"196","GSMACK",2009,-6.95038222317808,8.48628973009078e-06,"sig","AND",17
"197","GSMACK",2010,-7.61580905237208,1.9002900988504e-05,"sig","AND",18
"198","GSMACK",2011,-7.57660791644714,2.13268182958408e-10,"sig","AND",16
"199","GSMACK",2012,-7.17389458163208,8.547518855327e-05,"sig","AND",17
"200","GSMACK",2013,-6.64717397215098,0.000463455522377076,"sig","AND",17
"201","GSMACK",2014,-6.37432032146193,3.40917383432048e-06,"sig","AND",17
"202","GSMACK",2015,-7.48670039740256,3.10313952854605e-05,"sig","AND",18
"203","GSMACK",2016,-9.62279598931985,3.26215091307506e-06,"sig","AND",17
"204","GSMACK",2017,-6.59606959323057,0.000222987458895288,"sig","AND",17
"205","GSMACK",2018,-7.26322298321386,2.07456168789637e-08,"sig","AND",18
"206","GSMACK",2019,-3.06369800268409,0.516643674115249,"not sig","AND",6
"207","GSWS02",1983,-17.0059752627803,0.00351294651687914,"sig","AND",14
"208","GSWS02",1984,-23.4938766406884,0.000511819689396536,"sig","AND",18
"209","GSWS02",1985,-5.98573374666748,0.10320904720633,"not sig","AND",17
"210","GSWS02",1986,-12.9517270749473,0.0140047487833431,"sig","AND",17
"211","GSWS02",1987,-18.7085031499775,0.000434247757598283,"sig","AND",16
"212","GSWS02",1988,-13.2754168686519,0.00174409022097988,"sig","AND",19
"213","GSWS02",1989,-21.0515110402151,4.47410875586412e-09,"sig","AND",19
"214","GSWS02",1990,-2.19033870757126,0.252807199990816,"not sig","AND",18
"215","GSWS02",1991,-25.4616091100718,2.01344107713617e-05,"sig","AND",18
"216","GSWS02",1992,-23.379346185053,2.93482333656988e-07,"sig","AND",18
