"","day","month","year","flow","hyear","baseflow","date"
"394",15,7,1993,6.28571428571428e-05,1993,NA,1993-07-15
"395",16,7,1993,5.57142857142857e-05,1993,NA,1993-07-16
"396",17,7,1993,4.85714285714286e-05,1993,NA,1993-07-17
"397",18,7,1993,4.14285714285714e-05,1993,NA,1993-07-18
"398",19,7,1993,3.42857142857143e-05,1993,NA,1993-07-19
"399",20,7,1993,2.71428571428571e-05,1993,NA,1993-07-20
"400",21,7,1993,2e-05,1993,2e-05,1993-07-21
"401",22,7,1993,2e-05,1993,NA,1993-07-22
"402",23,7,1993,2e-05,1993,NA,1993-07-23
"403",24,7,1993,2e-05,1993,NA,1993-07-24
"404",25,7,1993,2e-05,1993,NA,1993-07-25
"405",26,7,1993,2e-05,1993,NA,1993-07-26
"406",27,7,1993,2e-05,1993,NA,1993-07-27
"407",28,7,1993,2e-05,1993,2e-05,1993-07-28
"408",29,7,1993,5.85714285714286e-05,1993,NA,1993-07-29
"409",30,7,1993,9.71428571428571e-05,1993,NA,1993-07-30
"410",31,7,1993,0.000135714285714286,1993,NA,1993-07-31
"411",1,8,1993,0.000174285714285714,1993,NA,1993-08-01
"412",2,8,1993,0.000212857142857143,1993,NA,1993-08-02
"413",3,8,1993,0.000251428571428571,1993,NA,1993-08-03
"414",4,8,1993,0.00029,1993,0.00029,1993-08-04
"415",5,8,1993,0.000258571428571429,1993,NA,1993-08-05
"416",6,8,1993,0.000227142857142857,1993,NA,1993-08-06
"417",7,8,1993,0.000195714285714286,1993,NA,1993-08-07
"418",8,8,1993,0.000164285714285714,1993,NA,1993-08-08
"419",9,8,1993,0.000132857142857143,1993,NA,1993-08-09
"420",10,8,1993,0.000101428571428571,1993,NA,1993-08-10
"421",11,8,1993,7e-05,1993,7e-05,1993-08-11
"422",12,8,1993,0.000141666666666667,1993,NA,1993-08-12
"423",13,8,1993,0.000213333333333333,1993,NA,1993-08-13
"424",14,8,1993,0.000285,1993,NA,1993-08-14
"425",15,8,1993,0.000356666666666667,1993,NA,1993-08-15
"426",16,8,1993,0.000428333333333333,1993,NA,1993-08-16
"427",17,8,1993,5e-04,1993,0.000427847730600293,1993-08-17
"428",18,8,1993,0.000499967637540453,1993,NA,1993-08-18
"429",19,8,1993,0.000499935275080906,1993,NA,1993-08-19
"430",20,8,1993,0.000499902912621359,1993,NA,1993-08-20
"431",21,8,1993,0.000499870550161812,1993,NA,1993-08-21
"432",22,8,1993,0.000499838187702265,1993,NA,1993-08-22
"433",23,8,1993,0.000499805825242718,1993,NA,1993-08-23
"434",24,8,1993,0.000499773462783171,1993,NA,1993-08-24
"435",25,8,1993,0.000499741100323625,1993,NA,1993-08-25
"436",26,8,1993,0.000499708737864078,1993,NA,1993-08-26
"437",27,8,1993,0.000499676375404531,1993,NA,1993-08-27
"438",28,8,1993,0.000499644012944984,1993,NA,1993-08-28
"439",29,8,1993,0.000499611650485437,1993,NA,1993-08-29
"440",30,8,1993,0.00049957928802589,1993,NA,1993-08-30
"441",31,8,1993,0.000499546925566343,1993,NA,1993-08-31
"684",1,5,1994,0.00049168284789644,1994,NA,1994-05-01
"685",2,5,1994,0.000491650485436893,1994,NA,1994-05-02
"686",3,5,1994,0.000491618122977346,1994,NA,1994-05-03
"687",4,5,1994,0.000491585760517799,1994,NA,1994-05-04
"688",5,5,1994,0.000491553398058252,1994,NA,1994-05-05
"689",6,5,1994,0.000491521035598705,1994,NA,1994-05-06
"690",7,5,1994,0.000491488673139159,1994,NA,1994-05-07
"691",8,5,1994,0.000491456310679612,1994,NA,1994-05-08
"692",9,5,1994,0.000491423948220065,1994,NA,1994-05-09
"693",10,5,1994,0.000491391585760518,1994,NA,1994-05-10
"694",11,5,1994,0.000491359223300971,1994,NA,1994-05-11
"695",12,5,1994,0.000491326860841424,1994,NA,1994-05-12
"696",13,5,1994,0.000491294498381877,1994,NA,1994-05-13
"697",14,5,1994,0.00049126213592233,1994,NA,1994-05-14
"698",15,5,1994,0.000491229773462783,1994,NA,1994-05-15
"699",16,5,1994,0.000491197411003236,1994,NA,1994-05-16
"700",17,5,1994,0.000491165048543689,1994,NA,1994-05-17
"701",18,5,1994,0.000491132686084142,1994,NA,1994-05-18
"702",19,5,1994,0.000491100323624596,1994,NA,1994-05-19
"703",20,5,1994,0.000491067961165049,1994,NA,1994-05-20
"704",21,5,1994,0.000491035598705502,1994,NA,1994-05-21
"705",22,5,1994,0.000491003236245955,1994,NA,1994-05-22
"706",23,5,1994,0.000490970873786408,1994,NA,1994-05-23
