"","site.name","year","slope","pvalue","LTER","n","sig","sig_slopes"
"134","Lena",2004,-4.17490406464949,0.0159778930580978,"GRO",7,"sig",-4.17490406464949
"135","Lena",2005,-2.91284887846298,0.0421427544627666,"GRO",7,"sig",-2.91284887846298
"136","Lena",2006,-3.51657475014865,NA,"GRO",2,NA,NA
"137","Lena",2009,-1.43255777976302,0.024304859143819,"GRO",29,"sig",-1.43255777976302
"138","Lena",2010,-4.04082025001835,1.11907158103297e-06,"GRO",30,"sig",-4.04082025001835
"139","Lena",2011,-2.81451711397245,0.0001398613690054,"GRO",30,"sig",-2.81451711397245
"140","Lena",2012,-3.43243102096491,0.268372756774005,"GRO",3,"not sig",NA
"141","Lena",2013,-3.80840044673098,0.00115195833334377,"GRO",6,"sig",-3.80840044673098
"142","Lena",2014,-4.43918473030711,0.0012106161398141,"GRO",6,"sig",-4.43918473030711
"143","Lena",2015,-6.66682863049833,0.00903494354670847,"GRO",6,"sig",-6.66682863049833
"144","Lena",2016,-6.01320793387266,0.00012665076834018,"GRO",6,"sig",-6.01320793387266
"145","Lena",2017,-4.3585454246676,0.0410575259336624,"GRO",6,"sig",-4.3585454246676
"146","Lena",2018,-6.95160433457495,0.0263627617831445,"GRO",6,"sig",-6.95160433457495
"147","Lena",2019,-4.43909953246508,0.0444150079924826,"GRO",4,"sig",-4.43909953246508
"148","Mackenzie",2004,-6.68063008225373,0.0564594489021213,"GRO",7,"sig",-6.68063008225373
"149","Mackenzie",2005,-5.86441749765102,0.161906673713345,"GRO",7,"not sig",NA
"150","Mackenzie",2009,-0.703106753020784,0.0107885444336905,"GRO",22,"sig",-0.703106753020784
"151","Mackenzie",2010,-1.54457076802269,0.00061954622923929,"GRO",35,"sig",-1.54457076802269
"152","Mackenzie",2011,-0.809098471851241,0.0143412737760119,"GRO",35,"sig",-0.809098471851241
"153","Mackenzie",2012,-5.12849567549967,0.136816579293957,"GRO",5,"not sig",NA
"154","Mackenzie",2013,-5.89447191499166,0.00670163230494965,"GRO",6,"sig",-5.89447191499166
"155","Mackenzie",2014,-2.94307767852407,0.247154868873922,"GRO",6,"not sig",NA
"156","Mackenzie",2015,-4.32108213860324,0.0595010158471255,"GRO",6,"sig",-4.32108213860324
"157","Mackenzie",2016,-2.48987345024835,0.092553722231011,"GRO",6,"sig",-2.48987345024835
"158","Mackenzie",2017,2.64425200075371,0.532746667835824,"GRO",6,"not sig",NA
"159","Mackenzie",2018,-3.46045186307402,0.714072576346861,"GRO",4,"not sig",NA
"160","Mackenzie",2019,-7.92846383214423,0.00427536030051729,"GRO",4,"sig",-7.92846383214423
"161","MARTINELLI",1984,-0.989968670266684,0.40440126489521,"NWT",20,"not sig",NA
"162","MARTINELLI",1985,0.291481489911406,0.536545308924704,"NWT",19,"not sig",NA
"163","MARTINELLI",1986,1.08350766070317,0.0523942107665223,"NWT",18,"sig",1.08350766070317
"164","MARTINELLI",1987,0.5496845289397,0.0935755591075205,"NWT",12,"sig",0.5496845289397
"165","MARTINELLI",1988,1.35587945503937,0.111600622538172,"NWT",7,"not sig",NA
"166","MARTINELLI",1989,0.71394689061568,0.286432594600568,"NWT",8,"not sig",NA
"167","MARTINELLI",1990,-4.04713483240819,0.00610762835439883,"NWT",9,"sig",-4.04713483240819
"168","MARTINELLI",1991,-0.455611521881666,0.560900742266403,"NWT",11,"not sig",NA
"169","MARTINELLI",1993,0.813811028518328,0.172905847038403,"NWT",21,"not sig",NA
"170","MARTINELLI",1994,-0.669338049846688,0.257603762430704,"NWT",20,"not sig",NA
"171","MARTINELLI",1995,0.206427917324151,0.601960129660969,"NWT",19,"not sig",NA
"172","MARTINELLI",1996,0.326515951668961,0.599285096585858,"NWT",18,"not sig",NA
"173","MARTINELLI",1997,-1.5077257212624,0.107575005902235,"NWT",23,"not sig",NA
"174","MARTINELLI",1998,-3.9798473077072,0.00121413137056284,"NWT",17,"sig",-3.9798473077072
"175","MARTINELLI",2001,-3.0950572882324,0.0153381755395869,"NWT",16,"sig",-3.0950572882324
"176","MARTINELLI",2003,-1.71349970978182,0.368857048994933,"NWT",19,"not sig",NA
"177","MARTINELLI",2011,-0.228247991986362,0.783235107578965,"NWT",17,"not sig",NA
"178","MARTINELLI",2013,-0.581301059846502,0.248365967938293,"NWT",20,"not sig",NA
"179","MARTINELLI",2015,-6.23292080875845,0.0117500542317388,"NWT",11,"sig",-6.23292080875845
"180","MARTINELLI",2016,-3.63365209616225,0.0175640579562442,"NWT",15,"sig",-3.63365209616225
"181","MARTINELLI",2017,-6.11217201398717,0.00089247649380709,"NWT",13,"sig",-6.11217201398717
"182","MARTINELLI",2018,-1.67799167071891,0.0119276647620766,"NWT",14,"sig",-1.67799167071891
"183","Ob",2004,-1.49435796185877,0.00173886446420186,"GRO",7,"sig",-1.49435796185877
"184","Ob",2005,-1.31022251593454,0.0496754675054141,"GRO",7,"sig",-1.31022251593454
"185","Ob",2006,1.5732996870438,NA,"GRO",2,NA,NA
"186","Ob",2009,-2.025055556155,0.0137631167533699,"GRO",5,"sig",-2.025055556155
"187","Ob",2010,-1.76188179990913,0.0335290999554034,"GRO",5,"sig",-1.76188179990913
"188","Ob",2011,-1.14574090357872,0.132021797290339,"GRO",5,"not sig",NA
"189","Ob",2012,-1.05587376421233,0.240741308478734,"GRO",4,"not sig",NA
"190","Ob",2013,-1.10443980056019,0.0825774616089819,"GRO",6,"sig",-1.10443980056019
"191","Ob",2014,-1.69638889459824,0.00067025636080524,"GRO",6,"sig",-1.69638889459824
"192","Ob",2015,-0.559946306820843,0.169102177090589,"GRO",6,"not sig",NA
"193","Ob",2016,-1.2257069517594,0.0329601471230017,"GRO",6,"sig",-1.2257069517594
"194","Ob",2017,-1.9651243800583,0.00050476004196172,"GRO",6,"sig",-1.9651243800583
"195","Ob",2018,-1.81230416577118,0.00018015775917251,"GRO",6,"sig",-1.81230416577118
"196","Ob",2019,-1.9400215648654,0.0184826642964615,"GRO",4,"sig",-1.9400215648654
