"","Site","Date","Loadflex_P_est_kg.d","Discharge","P","P_loads"
"10694","Onyx River at Lake Vanda Weir",1970-01-14,0,174.7,NA,NA
"10695","Onyx River at Lake Vanda Weir",1970-01-15,0,96.4,NA,NA
"10696","Onyx River at Lake Vanda Weir",1970-01-16,0,153.9,NA,NA
"10697","Onyx River at Lake Vanda Weir",1970-01-17,0,177.2,NA,NA
"10698","Onyx River at Lake Vanda Weir",1970-01-18,0,128.8,NA,NA
"10699","Onyx River at Lake Vanda Weir",1970-01-19,0,88.5,NA,NA
"10700","Onyx River at Lake Vanda Weir",1970-01-20,0,113.8,NA,NA
"10701","Onyx River at Lake Vanda Weir",1970-01-21,0,150.1,NA,NA
"10702","Onyx River at Lake Vanda Weir",1970-01-22,0,191.2,NA,NA
"10703","Onyx River at Lake Vanda Weir",1970-01-23,0,121.8,NA,NA
"10704","Onyx River at Lake Vanda Weir",1970-01-24,0,132.2,NA,NA
"10705","Onyx River at Lake Vanda Weir",1970-01-25,0,79.1,NA,NA
"10706","Onyx River at Lake Vanda Weir",1970-01-26,0,109.1,NA,NA
"10707","Onyx River at Lake Vanda Weir",1970-01-27,0,110.9,NA,NA
"10708","Onyx River at Lake Vanda Weir",1970-01-28,0,109.6,NA,NA
"10709","Onyx River at Lake Vanda Weir",1970-01-29,0,71.4,NA,NA
"10710","Onyx River at Lake Vanda Weir",1970-01-30,0,52.9,NA,NA
"10711","Onyx River at Lake Vanda Weir",1970-01-31,0,63,NA,NA
"10712","Onyx River at Lake Vanda Weir",1970-02-01,0,47.5,NA,NA
"10713","Onyx River at Lake Vanda Weir",1970-02-02,0,68.7,NA,NA
"10714","Onyx River at Lake Vanda Weir",1970-02-03,0,33.9,NA,NA
"10715","Onyx River at Lake Vanda Weir",1970-02-04,0,21.8,NA,NA
"10716","Onyx River at Lake Vanda Weir",1970-02-05,0,18.3,NA,NA
"10717","Onyx River at Lake Vanda Weir",1970-02-06,0,7.3,NA,NA
"10718","Onyx River at Lake Vanda Weir",1970-02-07,0,3.5,NA,NA
"10719","Onyx River at Lake Vanda Weir",1970-02-08,0,1.9,NA,NA
"10720","Onyx River at Lake Vanda Weir",1970-02-09,0,1,NA,NA
"10721","Onyx River at Lake Vanda Weir",1970-02-10,0,0.6,NA,NA
"10722","Onyx River at Lake Vanda Weir",1970-02-11,0,0,NA,NA
"10723","Onyx River at Lake Vanda Weir",1970-02-12,0,0,NA,NA
"10724","Onyx River at Lake Vanda Weir",1970-02-13,0,0,NA,NA
"10725","Onyx River at Lake Vanda Weir",1970-02-14,0,0,NA,NA
