Date,Si,site.name
9/23/1993,0.63585572,ALBION
9/30/1993,0.563114275,ALBION
10/7/1993,0.622093825,ALBION
10/14/1993,0.697924675,ALBION
10/28/1993,0.597940295,ALBION
11/11/1993,0.606927655,ALBION
11/25/1993,0.567046245,ALBION
12/16/1993,0.556935465,ALBION
12/30/1993,0.620970405,ALBION
1/11/1994,0.565922825,ALBION
1/28/1994,0.581088995,ALBION
3/4/1994,0.681073375,ALBION
3/25/1994,0.297987155,ALBION
4/8/1994,0.532781935,ALBION
5/2/1994,1.175939885,ALBION
5/11/1994,1.691027955,ALBION
5/17/1994,1.766858805,ALBION
5/19/1994,1.76601624,ALBION
5/26/1994,1.75197349,ALBION
6/2/1994,1.62390361,ALBION
6/9/1994,1.78679951,ALBION
6/16/1994,1.45202035,ALBION
6/23/1994,0.797909055,ALBION
6/30/1994,0.78190032,ALBION
7/7/1994,0.78302374,ALBION
7/14/1994,0.7639256,ALBION
7/21/1994,0.73303155,ALBION
7/28/1994,0.674894565,ALBION
8/4/1994,0.59204234,ALBION
8/11/1994,0.743984895,ALBION
8/18/1994,0.6010297,ALBION
8/25/1994,0.73303155,ALBION
9/1/1994,0.795662215,ALBION
9/8/1994,0.77572151,ALBION
9/15/1994,0.7639256,ALBION
9/22/1994,0.80212188,ALBION
9/29/1994,0.790045115,ALBION
10/13/1994,1.06893413,ALBION
10/13/1994,1.075955505,ALBION
10/27/1994,1.2469962,ALBION
10/27/1994,1.26890289,ALBION
11/24/1994,0.970915735,ALBION
12/8/1994,0.829926525,ALBION
12/22/1994,0.870931355,ALBION
12/22/1994,0.884974105,ALBION
12/29/1994,0.819254035,ALBION
12/29/1994,0.812513515,ALBION
1/5/1995,0.83582448,ALBION
2/3/1995,0.851271505,ALBION
2/3/1995,0.859135445,ALBION
3/29/1995,0.80830069,ALBION
4/28/1995,0.92457466,ALBION
5/5/1995,1.038320935,ALBION
5/12/1995,0.989452165,ALBION
5/19/1995,1.15824602,ALBION
5/23/1995,1.220876685,ALBION
5/31/1995,1.237166275,ALBION
6/8/1995,1.504540235,ALBION
6/15/1995,1.51437016,ALBION
6/22/1995,1.44808838,ALBION
6/29/1995,1.14139472,ALBION
