"","site.name","LTER","year","slope","pvalue","n","sig","sig_slopes","mblm_slope","mblm_intercept","mblm_pvalue","mblm_sig","mblm_n"
"25","Canada Stream at F1","MCM",2005,-2.12129192935393,0.029380496254548,6,"sig",-2.12129192935393,0.0769874359324447,-157.598716219099,0.00836181640625,"sig",15
"26","Canada Stream at F1","MCM",2006,-3.4405354491303,0.00224261114146149,5,"sig",-3.4405354491303,0.0769874359324447,-157.598716219099,0.00836181640625,"sig",15
"27","Canada Stream at F1","MCM",2008,-3.81584576268999,0.000374726845387736,10,"sig",-3.81584576268999,0.0769874359324447,-157.598716219099,0.00836181640625,"sig",15
"28","Canada Stream at F1","MCM",2011,-2.58965617794782,0.000345747646811076,7,"sig",-2.58965617794782,0.0769874359324447,-157.598716219099,0.00836181640625,"sig",15
"29","Canada Stream at F1","MCM",2012,-1.99052373628701,0.0106775620628642,10,"sig",-1.99052373628701,0.0769874359324447,-157.598716219099,0.00836181640625,"sig",15
"30","Canada Stream at F1","MCM",2013,-3.778152683475,0.00882365261714371,7,"sig",-3.778152683475,0.0769874359324447,-157.598716219099,0.00836181640625,"sig",15
"31","Canada Stream at F1","MCM",2014,-4.94890176333426,0.0655852895270574,7,"sig",-4.94890176333426,0.0769874359324447,-157.598716219099,0.00836181640625,"sig",15
"32","Canada Stream at F1","MCM",2018,-3.59182681032047,0.000643273109445419,10,"sig",-3.59182681032047,0.0769874359324447,-157.598716219099,0.00836181640625,"sig",15
"33","CH00.1M","UMR",1999,-0.97689339213168,0.0491966894339225,23,"sig",-0.97689339213168,-0.0457707481081092,90.3086811697394,0.375,"not sig",10
"34","CH00.1M","UMR",2001,-1.27858579458716,0.0676572716108743,12,"sig",-1.27858579458716,-0.0457707481081092,90.3086811697394,0.375,"not sig",10
"35","CH00.1M","UMR",2002,-1.78481658646679,0.00870366396666606,10,"sig",-1.78481658646679,-0.0457707481081092,90.3086811697394,0.375,"not sig",10
"36","CH00.1M","UMR",2004,-3.69098334006648,0.0103031959316123,9,"sig",-3.69098334006648,-0.0457707481081092,90.3086811697394,0.375,"not sig",10
"37","CH00.1M","UMR",2010,0.77830354053293,0.0511741867850014,15,"sig",0.77830354053293,-0.0457707481081092,90.3086811697394,0.375,"not sig",10
"38","CH00.1M","UMR",2012,-1.76078423370039,0.00360993196977395,16,"sig",-1.76078423370039,-0.0457707481081092,90.3086811697394,0.375,"not sig",10
"39","CH00.1M","UMR",2013,-2.66296406790592,8.4854956860091e-07,16,"sig",-2.66296406790592,-0.0457707481081092,90.3086811697394,0.375,"not sig",10
