LTER,Stream,DischargeFileName,USGSGageYN,USGSGageNumber,USGSGageName,NonUSGSGageSiteName,Units,DataQTemplate,DataDataTemplate,Downloaded,USGSGageNameFull
LUQ,QS,LUQ_QS_Q,Y,50063440,"Quebrada Sonadora NR El Verde, PR",,cfs,Y,,Y,50063440
LUQ,RES4,LUQ_RES4_Q,Y,50063800,"Rio Espiritu Santo NR Rio Grande, PR",,cfs,Y,,Y,50063800
LUQ,RI,LUQ_RI_Q,Y,50075000,"Rio Icacos NR Naguabo, PR",,cfs,Y,,Y,50075000
LUQ,RS,LUQ_RS_Q,Y,50067000,"Rio Sabana at Sabana, PR",,cfs,Y,,Y,50067000
MCM,Andersen Creek at H1,MCM_Andersen_Q,N,NA,,Andersen Creek at H1,cms,N,Y,Y,NA
MCM,Bohner Stream,MCM_Bohner_Q,N,NA,,Bohner Stream,cms,N,Some,Y,NA
MCM,Canada Stream at F1,MCM_Canada_Q,N,NA,,Canada Stream at F1,cms,N,Y,Y,NA
MCM,Green Creak at F9,MCM_Green_Q,N,NA,,Green Creak at F9,cms,N,Y,Y,NA
MCM,Lawson Creek at B3,MCM_Lawson_Q,N,NA,,Lawson Creek at B3,cms,N,Y,Y,NA
MCM,Onyx River at Lake Vanda Weir,MCM_OnyxVandaWeir_Q,N,NA,,Onyx River at Lake Vanda Weir,cms,N,Y,Y,NA
MCM,Onyx River at Lower Wright Weir,MCM_OnyxWrightWeir_Q,N,NA,,Onyx River at Lower Wright Weir,cms,N,Y,Y,NA
MCM,Priscu Stream at B1,MCM_Priscu_Q,N,NA,,Priscu Stream at B1,cms,N,Y,Y,NA
MCM,Von Guerard Stream at F6,MCM_VonGuerard_Q,N,NA,,Von Guerard Stream at F6,cms,N,Y,Y,NA
NWT,ALBION,NWT_alb_Q,N,NA,,alb,cmd,Y,,Y,NA
NWT,MARTINELLI,NWT_mar_Q,N,NA,,mar,cmd,Y,,Y,NA
NWT,SADDLE STREAM 007,NWT_sdl_Q,N,NA,,sdl,cmd,Y,,Y,NA
PIE,Cart Creek,PIE_YSICC_Q,N,NA,,YSI-CC,Ls,Y,,Y,NA
PIE,Fish Br,PIE_YSIFB_Q,N,NA,,YSI-FB or FB-MI,Ls,N,,no data?,NA
PIE,Ipswich at Ipswich,PIE_IpswichIps_Q,Y,1102000,"Ipswich River NR Ipswich, MA",,cfs,N,,Y,01102000
PIE,Ipswich at Middleton,PIE_IpswichMid_Q,Y,1101500,"Ipswich River at S Middleton, MA",,cfs,N,,Y,01101500
PIE,Ipswich at North Reading,PIE_YSIIR_Q,N,NA,,YSI-IR or IP06,Ls,Y,,Y,NA
PIE,Parker River at Byfield,PIE_Parker_Q,Y,1101000,"Parker River at Byfield, MA",,cfs,N,,Y,01101000
PIE,Sawmill Brook,PIE_YSISB_Q,N,NA,,YSI-SB,Ls,Y,,Y,NA
SageHen,Sagehen,Sagehen_Q,Y,10343500,Sagehen Creek,,cfs,Y,,Y,10343500
UMR,BK01.0M,UMR_BK01.0M_Q,Y,5382000,"Black River NR Galesville, WI",,cfs,N,,Y,05382000
UMR,CN00.1M,UMR_CN00.1M_Q,Y,5355200,"Cannon River at Welch, MN",,cfs,N,,Y,05355200
UMR,CH00.1M,UMR_CH00.1M_Q,Y,5369500,"Chippewa River at Durand, WI",,cfs,N,,Y,05369500
UMR,CU11.6M,UMR_CU11.6M_Q,Y,5514500,"Cuivre River near Troy, MO",,cfs,N,,Y,05514500
UMR,I080.2M,UMR_I080.2M_Q,Y,5568500,"Iliinois River at Kingston Mines, IL",,cfs,N,,Y,05568500
UMR,LM00.5M,UMR_LM00.5M_Q,Y,5585000,"La Moines River at Ripley, IL",,cfs,N,,Y,05585000
UMR,MQ02.1M,UMR_MQ02.1M_Q,Y,5418500,"Maquoketa River near Maquoketa, IA",,cfs,N,,Y,05418500
UMR,M556.4A,UMR_M556.4A_Q,Y,5420500,"Mississippi River at Clinton, IA",,cfs,N,,Y,05420500
UMR,M764.3A,UMR_M786.2C_Q,Y,5344500,"Mississippi River at Prescott, MN",,cfs,N,,Y,05344500
UMR,M786.2C,UMR_M786.2C_Q,Y,5344500,"Mississippi River at Prescott, MN",,cfs,N,,Y,05344500
UMR,M241.4K,UMR_M241.4K_Q,Y,7010000,"Mississippi River at St Louis, MO",,cfs,N,,Y,07010000
UMR,M078.0B,UMR_M078.0B_Q,Y,7022000,"Mississippi River at Thebes, IL",,cfs,N,,Y,07022000
UMR,M701.1B,UMR_M701.1B_Q,Y,5378500,"Mississippi River at Winona, MN",,cfs,N,,Y,05378500
UMR,SG16.2C,UMR_SG16.2C_Q,Y,5583000,"Sangamon River near Oakford, IL",,cfs,N,,Y,05583000
UMR,WP02.6M,UMR_WP02.6M_Q,Y,5422000,"Wapsipinicon River near De Witt, IA",,cfs,N,,Y,05422000
